8;4
24;0
40;0
56;0
72;0
88;0
104;0
120;0
136;0
152;0
168;0
184;0
200;0
216;0
232;0
248;0
264;0
280;0
296;0
312;0
328;0
344;0
360;0
376;0
392;0
408;0
424;0
440;0
456;0
472;0
488;0
504;0
520;0
536;0
552;0
568;0
584;0
600;0
616;0
632;0
648;0
664;0
680;0
696;0
712;0
728;0
744;0
760;0
776;0
792;0
808;0
824;0
840;0
856;0
872;0
888;0
904;0
920;0
936;0
952;0
968;0
984;0
1000;0
1016;0
1032;0
1048;0
1064;0
1080;0
1096;0
1112;0
1128;0
1144;0
1160;0
1176;0
1192;0
1208;0
1224;0
1240;0
1256;0
1272;0
1288;0
1304;0
1320;0
1336;0
1352;0
1368;0
1384;0
1400;0
1416;0
1432;0
1448;0
1464;0
1480;0
1496;0
1512;0
1528;0
1544;0
1560;0
1576;0
1592;0
1608;0
1624;0
1640;0
1656;0
1672;0
1688;0
1704;0
1720;0
1736;0
1752;0
1768;0
1784;0
1800;0
1816;0
1832;0
1848;0
1864;0
1880;0
1896;0
1912;0
1928;0
1944;0
1960;0
1976;0
1992;0
2008;0
2024;0
2040;0
2056;0
2072;0
2088;0
2104;0
2120;0
2136;0
2152;0
2168;0
2184;0
2200;0
2216;0
2232;0
2248;0
2264;0
2280;0
2296;0
2312;0
2328;0
2344;0
2360;0
2376;0
2392;0
2408;0
2424;0
2440;0
2456;0
2472;0
2488;0
2504;0
2520;0
2536;0
2552;0
2568;0
2584;0
2600;0
2616;0
2632;0
2648;0
2664;0
2680;0
2696;0
2712;0
2728;0
2744;0
2760;0
2776;0
2792;0
2808;0
2824;0
2840;0
2856;0
2872;0
2888;0
2904;0
2920;0
2936;0
2952;0
2968;0
2984;0
3000;0
3016;0
3032;0
3048;0
3064;0
3080;0
3096;0
3112;0
3128;0
3144;0
3160;0
3176;0
3192;0
3208;0
3224;0
3240;0
3256;0
3272;0
3288;0
3304;0
3320;0
3336;0
3352;0
3368;0
3384;0
3400;0
3416;0
3432;0
3448;0
3464;0
3480;0
3496;0
3512;0
3528;0
3544;0
3560;0
3576;0
3592;0
3608;0
3624;0
3640;0
3656;0
3672;0
3688;0
3704;0
3720;0
3736;0
3752;0
3768;0
3784;0
3800;0
3816;0
3832;0
3848;0
3864;0
3880;0
3896;0
3912;0
3928;0
3944;0
3960;0
3976;0
3992;0
4008;0
4024;0
4040;0
4056;0
4072;0
4088;0
4104;0
4120;0
4136;0
4152;0
4168;0
4184;0
4200;0
4216;0
4232;0
4248;0
4264;0
4280;0
4296;0
4312;0
4328;0
4344;0
4360;0
4376;0
4392;0
4408;0
4424;0
4440;0
4456;0
4472;0
4488;0
4504;0
4520;0
4536;0
4552;0
4568;0
4584;0
4600;0
4616;0
4632;0
4648;0
4664;0
4680;0
4696;0
4712;0
4728;0
4744;0
4760;0
4776;0
4792;0
4808;0
4824;0
4840;0
4856;0
4872;0
4888;0
4904;0
4920;0
4936;0
4952;0
4968;0
4984;0
